mfc1,mfc2,mfc3,mfc4,x1,y1,split
0.0322875417768955,0.042917288839817,0.138325244188309,0.0496896728873253,0.776,0.09150000000000003,train
0.0727012455463409,0.0133759910240769,0.0,0.0147044276818633,0.02095,0.870975,train
0.0089459102600812,0.0138764362782239,0.0611697398126125,0.0158817581832409,0.85755,0.037675000000000014,train
0.0772951617836952,0.0642220005393028,0.0534701943397522,0.0771562457084656,0.384475,0.515575,train
0.0286080688238144,0.0197872836142778,0.0128289386630058,0.0412540957331657,0.1029,0.423675,train
0.0492566339671612,0.0444709956645966,0.0521680414676666,0.111638061702251,0.3119,0.21912500000000001,train
0.0567093640565872,0.0228762961924076,0.0,0.018870247527957,0.239025,0.99765,train
0.0440650433301926,0.054736964404583,0.0840586796402931,0.0634672939777374,0.644525,0.2802,train
0.0706632435321808,0.507588624954224,0.0609420202672482,0.056632325053215,0.88675,0.9266,train
0.388158738613129,0.12309655547142,0.0761229991912842,0.106484964489936,0.231525,0.94125,train
0.0271769128739834,0.0426087416708469,0.0135482335463166,0.0222844947129488,0.5974,0.873625,train
0.120807483792305,0.106102049350738,0.145506769418716,0.331629902124405,0.306525,0.13644999999999996,train
0.123543664813041,0.0525454096496105,0.035825964063406,0.0644723698496819,0.15005,0.69375,train
0.170522958040237,0.284109860658646,0.135431528091431,0.12686251103878,0.6518,0.760625,train
0.0520124845206738,0.0895787999033928,0.0820670276880264,0.0565476454794407,0.78245,0.48529999999999995,train
0.257576942443848,0.195383086800575,0.101531259715557,0.120595067739486,0.420325,0.974025,train
0.0401930809020996,0.0330192223191261,0.0145906694233417,0.0254345014691353,0.389225,0.773375,train
0.0192451253533363,0.0566137470304966,0.0136600108817219,0.0181675385683775,0.795875,0.8113,train
0.156594827771187,0.117388136684894,0.132298961281776,0.28222119808197,0.247275,0.32615000000000005,train
0.305365055799484,0.11454327404499,0.0922650545835495,0.161054462194443,0.044025,0.67005,train
0.0151398228481411,0.0261417273432016,0.0470974035561085,0.0219865813851357,0.853,0.258575,train
0.0443366877734661,0.136873543262482,0.0543134063482285,0.0415352322161198,0.979125,0.703525,train
0.0175409372895956,0.0564559772610664,0.0147622767835855,0.0181906595826149,0.8721,0.75495,train
0.0720220878720284,0.106628350913524,0.0674138069152832,0.0634274408221245,0.63555,0.6313,train
0.107674375176429,0.0734905228018761,0.0406333096325397,0.0552780032157898,0.364325,0.811775,train
0.0431650057435036,0.156771197915077,0.0381678268313408,0.0377324372529984,0.871225,0.8291999999999999,train
0.1354820728302,0.24681943655014,0.209139421582222,0.135426074266434,0.82515,0.529725,train
0.0152336042374372,0.0167863313108683,0.011085195466876,0.0676132366061211,0.164375,0.06852499999999995,train
0.126212388277054,0.390397816896439,0.0962352082133293,0.0897673889994621,0.7672,0.9973,train
0.0348763726651669,0.0454900451004505,0.0152967292815446,0.0236972644925117,0.549475,0.969525,train
0.280632555484772,0.191510871052742,0.115200988948345,0.141521111130714,0.368775,0.820175,train
0.152728348970413,0.0461842529475689,0.028724629431963,0.0492545254528522,0.114575,0.80455,train
0.0292009525001049,0.630009114742279,0.0256701838225126,0.0278826337307692,0.935575,0.99425,train
0.125389784574509,0.138957947492599,0.21682371199131,0.20419055223465,0.537,0.22857499999999997,train
0.0248998142778873,0.0388363413512707,0.188321366906166,0.0344824865460396,0.9235,0.13070000000000004,train
0.050743255764246,0.0753237307071686,0.110333628952503,0.0611430592834949,0.7978,0.35050000000000003,train
0.0400050766766071,0.0243393443524837,0.0159016437828541,0.0348653793334961,0.129675,0.5594,train
0.018680302426219,0.0288067180663347,0.0484367907047272,0.0255034118890762,0.7668,0.24112500000000003,train
0.364020466804504,0.105116568505764,0.0884005799889565,0.140394419431686,0.005775,0.74325,train
0.0206737592816353,0.0171325914561749,0.0231025218963623,0.0549623817205429,0.296775,0.174825,train
0.029760392382741,0.0258055534213781,0.0229229684919119,0.0330979265272617,0.45435,0.557875,train
0.113867625594139,0.075285516679287,0.09391088783741,0.410573661327362,0.00305,0.21137499999999998,train
0.0196495037525892,0.0492174476385117,0.0179135538637638,0.019779272377491,0.801025,0.8103750000000001,train
0.303667187690735,0.156750246882439,0.109973140060901,0.146312177181244,0.31255,0.8041,train
0.0598441772162914,0.0598473474383354,0.0712321326136589,0.0804105773568153,0.51375,0.418625,train
0.13168440759182,0.0397563688457012,0.0336304716765881,0.063091017305851,0.0449,0.735475,train
0.21557429432869,0.130234017968178,0.130015984177589,0.220203369855881,0.233,0.502475,train
0.130382061004639,0.0505450367927551,0.034791324287653,0.0487408079206944,0.2669,0.902075,train
0.0578270629048347,0.0640759468078613,0.0849146842956543,0.0792887061834335,0.58425,0.3881,train
0.0175203215330839,0.0480102375149727,0.0197316780686378,0.0219050273299217,0.889725,0.73905,train
0.515123188495636,0.0629794001579285,0.0466593056917191,0.0706962719559669,0.118425,0.944025,train
0.0163243487477303,0.023407444357872,0.0427301898598671,0.0264487564563751,0.962375,0.3508,train
0.0329647101461887,0.0417249985039234,0.156231999397278,0.0527420490980148,0.8369,0.1674,train
0.0656087473034859,0.0146044716238975,0.0106267994269728,0.0207364428788424,0.15985,0.9390000000000001,train
0.0444387644529343,0.0210552718490362,0.0180609207600355,0.0350147895514965,0.204225,0.6657,train
0.0360056757926941,0.0247971955686808,0.0204736534506083,0.0315952338278294,0.36205,0.631975,train
0.0231529921293259,0.0209246724843979,0.0313958935439587,0.0489662624895573,0.427,0.18000000000000005,train
0.391116678714752,0.123892299830913,0.0862800404429436,0.117498911917209,0.223025,0.894075,train
